initial;code;name
A;111;Aa
A;112;Aal
A;113;Aar
A;114;Aars
A;115;Aas
A;116;Aba
A;117;Abal
A;118;Abar
A;119;Abat
A;121;Abau
A;122;Abb
A;123;Abbat
A;124;Abbe
A;125;Abbo
A;126;Abbot
A;127;Abbot, J.
A;128;Abbot, M
A;129;Abbot, S.
A;131;Abbott
A;132;Abbott, J.
A;133;Abbott, M.
A;134;Abbott, S.
A;135;Abd
A;136;Abdul
A;137;Abdy
A;138;Abe
A;139;Abel
A;141;Abel, L.
A;142;Aben
A;143;Aber
A;144;Abercr
A;145;Aberd
A;146;Abern
A;147;Abert
A;148;Abi
A;149;Abing
A;151;Abk
A;152;Abl
A;153;Abn
A;154;Abo
A;155;Abou
A;156;About
A;157;Abov
A;158;Abr
A;159;Abrah
A;161;Abrai
A;162;Abre
A;163;Abri
A;164;Abru
A;165;Abu
A;166;Abul
A;167;Abur
A;168;Aca
A;169;Acc
A;171;Acci
A;172;Acco
A;173;Ace
A;174;Aces
A;175;Ach
A;176;Achar
A;177;Ache
A;178;Achi
A;179;Achm
A;181;Aci
A;182;Ack
A;183;Ackw
A;184;Acl
A;185;Aco
A;186;Acq
A;187;Acr
A;188;Act
A;189;Acu
A;191;Ada
A;192;Adal
A;193;Adam
A;194;Adam, J.
A;195;Adam, M.
A;196;Adam, S.
A;197;Adam, W.
A;198;Adami
A;199;Adamo
A;211;Adams
A;212;Adams, F.
A;213;Adams, G.
A;214;Adams, J.
A;215;Adams, M.
A;216;Adams, N.
A;217;Adams, S.
A;218;Adams, T.
A;219;Adams, W.
A;221;Adamson
A;222;Add
A;223;Adde
A;224;Addi
A;225;Addison
A;226;Addison, M.
A;227;Addison, S.
A;228;Ade
A;229;Adelh
A;231;Adelo
A;232;Aden
A;233;Adet
A;234;Adh
A;235;Adi
A;236;Adk
A;237;Adl
A;238;Adm
A;239;Ado
A;241;Ador
A;242;Adr
A;243;Adri
A;244;Ads
A;245;Ady
A;246;Ae
A;247;Aeg
A;248;Ael
A;249;Aem
A;251;Aen
A;252;Aer
A;253;Aes
A;254;Aeso
A;255;Aet
A;256;Afa
A;257;Affl
A;258;Afr
A;259;Aga
A;261;Agar
A;262;Agas
A;263;Agat
A;264;Agay
A;265;Age
A;266;Agg
A;267;Agi
A;268;Agis
A;269;Agl
A;271;Agn
A;272;Agnes
A;273;Agnew
A;274;Agno
A;275;Ago
A;276;Agou
A;277;Agr
A;278;Agri
A;279;Agrip
A;281;Agro
A;282;Agu
A;283;Aguil
A;284;Aguir
A;285;Ah
A;286;Ahm
A;287;Ahr
A;288;Ai
A;289;Aig
A;291;Aik
A;292;Aiki
A;293;Ail
A;294;Aim
A;295;Ain
A;296;Ains
A;297;Ainsw
A;298;Air
A;299;Ais
A;311;Ait
A;312;Aj
A;313;Ak
A;314;Aker
A;315;Akers
A;316;Al
A;317;Alain
A;318;Alam
A;319;Alan
A;321;Alar
A;322;Alard
A;323;Alary
A;324;Alav
A;325;Alb
A;326;Alban
A;327;Albar
A;328;Albe
A;329;Alber
A;331;Alberi
A;332;Albero
A;333;Albert
A;334;Alberti
A;335;Albi
A;336;Albini
A;337;Albinu
A;338;Albiz
A;339;Albo
A;341;Albr
A;342;Albri
A;343;Albriz
A;344;Albro
A;345;Albu
A;346;Alc
A;347;Alcan
A;348;Alcar
A;349;Alcaz
A;351;Alce
A;352;Alci
A;353;Alcip
A;354;Alco
A;355;Alcot
A;356;Alcu
A;357;Ald
A;358;Alden
A;359;Alden, S.
A;361;Alder
A;362;Alders
A;363;Aldi
A;364;Aldo
A;365;Aldr
A;366;Ale
A;367;Alem
A;368;Alen
A;369;Alep
A;371;Ales
A;372;Alessi
A;373;Alew
A;374;Alex
A;375;Alexander, C.
A;376;Alexander, J.
A;377;Alexander, M.
A;378;Alexander, S.
A;379;Alexander, W.
A;381;Alexandre
A;382;Alexandre, M.
A;383;Alexandro
A;384;Alexi
A;385;Alfa
A;386;Alfe
A;387;Alfi
A;388;Alfo
A;389;Alford
A;391;Alfr
A;392;Alfred
A;393;Alfri
A;394;Alg
A;395;Alger
A;396;Algh
A;397;Alh
A;398;Ali
A;399;Alif
A;411;Alig
A;412;Alip
A;413;Alis
A;414;Alison, M.
A;415;Alk
A;416;All
A;417;Allan
A;418;Allan, M.
A;419;Allard
A;421;Allas
A;422;Alle
A;423;Allein
A;424;Allem
A;425;Allen
A;426;Allen, H.
A;427;Allen, J.
A;428;Allen, N.
A;429;Allen, S.
A;431;Allen, T.
A;432;Allen, W.
A;433;Allens
A;434;Aller
A;435;Alley
A;436;Alli
A;437;Alling
A;438;Allis
A;439;Allison, M.
A;441;Allo
A;442;Alls
A;443;Ally
A;444;Alm
A;445;Alman
A;446;Almas
A;447;Alme
A;448;Almen
A;449;Almi
A;451;Almo
A;452;Almon
A;453;Alo
A;454;Alon
A;455;Alos
A;456;Alp
A;457;Alpi
A;458;Alq
A;459;Alr
A;461;Als
A;462;Alsop
A;463;Alste
A;464;Alsto
A;465;Alt
A;466;Alte
A;467;Alth
A;468;Alti
A;469;Alto
A;471;Alu
A;472;Alv
A;473;Alvare
A;474;Alve
A;475;Alvi
A;476;Alvo
A;477;Alw
A;478;Alz
A;479;Ama
A;481;Amad
A;482;Amal
A;483;Amalt
A;484;Aman
A;485;Amar
A;486;Amas
A;487;Amat
A;488;Amato
A;489;Amau
A;491;Amb
A;492;Ambi
A;493;Ambl
A;494;Ambo
A;495;Ambr
A;496;Ambros
A;497;Ambu
A;498;Ame
A;499;Amelo
A;511;Amen
A;512;Amer
A;513;Ames
A;514;Ames, M.
A;515;Amh
A;516;Ami
A;517;Amin
A;518;Amm
A;519;Ammir
A;521;Ammo
A;522;Amn
A;523;Amo
A;524;Amor
A;525;Amos
A;526;Amp
A;527;Amps
A;528;Ams
A;529;Amu
A;531;Amy
A;532;Ana
A;533;Anam
A;534;Anas
A;535;Anat
A;536;Anax
A;537;Anb
A;538;Anc
A;539;Anch
A;541;Anci
A;542;Anco
A;543;And
A;544;Anders
A;545;Anderson
A;546;Anderson, D.
A;547;Anderson, J.
A;548;Anderson, M.
A;549;Anderson, R.
A;551;Anderson, T.
A;552;Anderson, W.
A;553;Andr
A;554;Andral
A;555;Andre
A;556;Andrea
A;557;Andreas
A;558;Andree
A;559;Andrei
A;561;Andres
A;562;Andrew
A;563;Andrew, M.
A;564;Andrewe
A;565;Andrews
A;566;Andrews, E.
A;567;Andrews, J.
A;568;Andrews, M.
A;569;Andrews, R.
A;571;Andrews, T.
A;572;Andrews, W.
A;573;Andri
A;574;Andro
A;575;Andron
A;576;Andros
A;577;Andry
A;578;Ane
A;579;Aner
A;581;Ang
A;582;Angeli
A;583;Angell
A;584;Angelo
A;585;Angelu
A;586;Angen
A;587;Anger
A;588;Angi
A;589;Angl
A;591;Anglu
A;592;Ango
A;593;Angou
A;594;Angu
A;595;Angus
A;596;Anh
A;597;Ani
